time_s,body_x_m,o1,o2,support_legs
18.650000,4.612985,0.726832,-0.484881,3.000000
18.700000,4.624349,0.520217,-0.752452,3.000000
18.750000,4.642981,0.181447,-0.825858,3.000000
18.800000,4.666668,-0.249226,-0.789210,3.000000
18.850000,4.687497,-0.627936,-0.654373,3.000000
18.900000,4.697088,-0.802313,-0.389259,3.000000
18.950000,4.698105,-0.820805,-0.001988,3.000000
19.000000,4.698105,-0.745142,0.431552,3.000000
19.050000,4.708462,-0.556830,0.728963,3.000000
19.100000,4.726155,-0.235136,0.823686,3.000000
19.150000,4.749441,0.188240,0.799473,3.000000
19.200000,4.771349,0.586567,0.680157,3.000000
19.250000,4.782533,0.789921,0.433746,3.000000
19.300000,4.784421,0.824250,0.060994,3.000000
19.350000,4.784421,0.761317,-0.375386,3.000000
19.400000,4.793799,0.590817,-0.701329,3.000000
19.450000,4.810522,0.286757,-0.819418,3.000000
19.500000,4.833278,-0.126983,-0.808036,3.000000
19.550000,4.856048,-0.540988,-0.703435,3.000000
19.600000,4.868882,-0.774322,-0.475787,3.000000
19.650000,4.871724,-0.826009,-0.118543,3.000000
19.700000,4.871724,-0.775484,0.316999,3.000000
19.750000,4.880157,-0.622158,0.669356,3.000000
19.800000,4.895885,-0.336195,0.812838,3.000000
19.850000,4.918005,0.065984,0.814951,3.000000
19.900000,4.941409,0.491517,0.724311,3.000000
19.950000,4.955911,0.755190,0.515311,3.000000
20.000000,4.959806,0.825995,0.174386,3.000000
20.050000,4.959806,0.787760,-0.257034,3.000000
20.100000,4.967335,0.650864,-0.632949,3.000000
20.150000,4.982048,0.383353,-0.803692,3.000000
20.200000,5.003446,-0.005706,-0.820242,3.000000
20.250000,5.027255,-0.438594,-0.742906,3.000000
20.300000,5.043404,-0.732217,-0.552259,3.000000
20.350000,5.048457,-0.824079,-0.228332,3.000000
20.400000,5.048457,-0.798247,0.196125,3.000000
20.450000,5.055127,-0.676978,0.592139,3.000000
20.500000,5.068812,-0.428150,0.791691,3.000000
20.550000,5.089420,-0.053468,0.823900,3.000000
20.600000,5.113412,0.382760,0.759349,3.000000
20.650000,5.131143,0.705129,0.586586,3.000000
20.700000,5.137466,0.820092,0.280226,3.000000
20.750000,5.137466,0.807026,-0.134871,3.000000
20.800000,5.143320,0.700573,-0.547087,3.000000
20.850000,5.155974,0.470510,-0.776523,3.000000
20.900000,5.175735,0.111219,-0.825880,3.000000
20.950000,5.199706,-0.324624,-0.773767,3.000000
21.000000,5.218907,-0.673723,-0.618268,3.000000
21.050000,5.226612,-0.813824,-0.329951,3.000000
21.100000,5.226612,-0.814151,0.073812,3.000000
21.150000,5.231694,-0.721752,0.498095,3.000000
21.200000,5.243321,-0.510362,0.757865,3.000000
21.250000,5.262189,-0.167294,0.826100,3.000000
21.300000,5.285956,0.264826,0.786281,3.000000
21.350000,5.306474,0.637889,0.647312,3.000000
21.400000,5.315667,0.805024,0.377408,3.000000
21.450000,5.315667,0.819651,-0.013417,3.000000
21.500000,5.320013,0.740634,-0.445588,3.000000
21.550000,5.330627,0.547645,-0.735403,3.000000
21.600000,5.348566,0.221493,-0.824438,3.000000
21.650000,5.371968,-0.204004,-0.796994,3.000000
21.700000,5.393618,-0.597640,-0.673756,3.000000
21.750000,5.404385,-0.793408,-0.422514,3.000000
21.800000,5.406041,-0.823521,-0.045918,3.000000
21.850000,5.406041,-0.757346,0.390097,3.000000
21.900000,5.415668,-0.582312,0.708858,3.000000
21.950000,5.432644,-0.273660,0.820729,3.000000
22.000000,5.455547,0.142763,0.805988,3.000000
22.050000,5.478117,0.553120,0.697671,3.000000
22.100000,5.490522,0.778666,0.465191,3.000000
22.150000,5.493110,0.825721,0.103867,3.000000
22.200000,5.493110,0.772019,-0.332221,3.000000
22.250000,5.501783,0.614335,-0.678017,3.000000
22.300000,5.517769,0.323670,-0.814768,3.000000
22.350000,5.540062,-0.081651,-0.813325,3.000000
22.400000,5.563325,-0.504614,-0.719155,3.000000
22.450000,5.577397,-0.760476,-0.505370,3.000000
22.500000,5.581011,-0.826174,-0.160171,3.000000
22.550000,5.581011,-0.784772,0.272601,3.000000
22.600000,5.588769,-0.643717,0.642755,3.000000
22.650000,5.603745,-0.371424,0.806310,3.000000
22.700000,5.625336,0.021147,0.819034,3.000000
22.750000,5.649063,0.452533,0.738325,3.000000
22.800000,5.664792,0.738520,0.542988,3.000000
22.850000,5.669535,0.824763,0.214621,3.000000
22.900000,5.669535,0.795711,-0.211876,3.000000
22.950000,5.676422,0.670493,-0.603069,3.000000
23.000000,5.690373,0.416837,-0.795074,3.000000
23.050000,5.711190,0.038344,-0.823115,3.000000
23.100000,5.735156,-0.397393,-0.755310,3.000000
23.150000,5.752488,-0.712516,-0.577993,3.000000
23.200000,5.758472,-0.821329,-0.267057,3.000000
23.250000,5.758472,-0.804923,0.150657,3.000000
23.300000,5.764533,-0.694729,0.559087,3.000000
23.350000,5.777452,-0.459832,0.780752,3.000000
23.400000,5.797436,-0.096489,0.825534,3.000000
23.450000,5.821432,0.339790,0.770239,3.000000
23.500000,5.840266,0.682237,0.610358,3.000000
23.550000,5.847605,0.815671,0.317351,3.000000
23.600000,5.847605,0.812471,-0.089500,3.000000
23.650000,5.852882,0.716519,-0.511074,3.000000
23.700000,5.864772,0.500336,-0.763024,3.000000
23.750000,5.883875,0.153017,-0.826218,3.000000
23.800000,5.907711,-0.280358,-0.783233,3.000000
23.850000,5.927906,-0.647548,-0.640079,3.000000
23.900000,5.936706,-0.807549,-0.365401,3.000000
23.950000,5.936706,-0.818389,0.028893,3.000000
24.000000,5.941239,-0.735981,0.459427,3.000000
24.050000,5.952112,-0.538287,0.741571,3.000000
24.100000,5.970293,-0.207716,0.825055,3.000000
24.150000,5.993803,0.219740,0.794400,3.000000
24.200000,6.015181,0.608428,0.667187,3.000000
24.250000,6.025535,0.796688,0.411120,3.000000
24.300000,6.026965,0.822681,0.030749,3.000000
24.350000,6.026965,0.753240,-0.404649,3.000000
24.400000,6.036844,0.573631,-0.716102,3.000000
24.450000,6.054070,0.260419,-0.821891,3.000000
24.500000,6.077114,-0.158552,-0.803831,3.000000
24.550000,6.099468,-0.564987,-0.691746,3.000000
24.600000,6.111446,-0.782782,-0.454430,3.000000
24.650000,6.113786,-0.825318,-0.089083,3.000000
24.700000,6.113786,-0.768426,0.347328,3.000000
24.750000,6.122701,-0.606336,0.686384,3.000000
24.800000,6.138944,-0.310995,0.816533,3.000000
24.850000,6.161404,0.097358,0.811591,3.000000
24.900000,6.184510,0.517474,0.713845,3.000000
24.950000,6.198152,0.765511,0.495260,3.000000
25.000000,6.201492,0.826230,0.145832,3.000000
25.050000,6.201492,0.781663,-0.288095,3.000000
25.100000,6.209481,0.636397,-0.652267,3.000000
25.150000,6.224720,0.359339,-0.808743,3.000000
25.200000,6.246499,-0.036656,-0.817718,3.000000
25.250000,6.270128,-0.466268,-0.733600,3.000000
25.300000,6.285434,-0.744554,-0.533542,3.000000
25.350000,6.289876,-0.825313,-0.200777,3.000000
25.400000,6.289876,-0.793061,0.227595,3.000000
25.450000,6.296983,-0.663840,0.613714,3.000000
25.500000,6.311199,-0.405363,0.798251,3.000000
25.550000,6.332222,-0.023131,0.822220,3.000000
25.600000,6.356146,0.411862,0.751135,3.000000
25.650000,6.373073,0.719618,0.569225,3.000000
25.700000,6.378727,0.822418,0.253746,3.000000
25.750000,6.378727,0.802711,-0.166447,3.000000
25.800000,6.384996,0.688722,-0.570819,3.000000
25.850000,6.398182,0.448988,-0.784756,3.000000
25.900000,6.418385,0.081651,-0.825073,3.000000
25.950000,6.442392,-0.354834,-0.766582,3.000000
26.000000,6.460851,-0.690457,-0.602271,3.000000
26.050000,6.467830,-0.817354,-0.304602,3.000000
26.100000,6.467830,-0.810683,0.105225,3.000000
26.150000,6.473306,-0.711132,0.523812,3.000000
26.200000,6.485460,-0.490141,0.767936,3.000000
26.250000,6.504794,-0.138618,0.826213,3.000000
26.300000,6.528688,0.295811,0.780063,3.000000
26.350000,6.548548,0.656912,0.632672,3.000000
26.400000,6.556962,0.809892,0.353239,3.000000
26.450000,6.556962,0.817019,-0.044434,3.000000
26.500000,6.561683,0.731182,-0.473057,3.000000
